year,realrinc,age,occ10,occrecode,prestg10,childs,wrkstat,gender,educcat,maritalcat
2000,2992,38,650,Business/Finance,53,2,Housekeeper,Female,Bachelor,Married
2000,7481,48,5700,Office and Administrative Support,47,1,Part-Time,Female,High School,Married
2000,36575,64,7700,Production,50,2,Full-Time,Male,High School,Separated
2000,24937,58,4850,Sales,45,3,Full-Time,Male,High School,Married
2000,,45,,,,2,Housekeeper,Female,Less Than High School,Separated
2000,,49,2200,Professional,74,0,Full-Time,Female,Bachelor,Widowed
2000,24937,47,6355,Construction/Extraction,49,0,Temporarily Not Working,Male,Bachelor,Married
2000,,37,5520,Office and Administrative Support,32,0,Full-Time,Female,High School,Never Married
2000,24937,43,800,Business/Finance,60,1,Full-Time,Male,Bachelor,Married
2000,10806,38,4200,Service,37,3,Full-Time,Female,High School,Divorced
2000,,60,9120,Transportation,35,5,Part-Time,Female,Less Than High School,Widowed
2000,,48,2300,Professional,53,3,Housekeeper,Female,Junior College,Separated
2000,,61,7750,Production,35,1,Retired,Female,Less Than High School,Divorced
2000,,59,7710,Production,44,4,Housekeeper,Female,,Widowed
2000,,59,,,,6,Housekeeper,Female,High School,Never Married
2000,,42,800,Business/Finance,60,0,Full-Time,Male,High School,Never Married
2000,,38,4720,Sales,28,2,Part-Time,Female,High School,Divorced
2000,5985,54,5800,Office and Administrative Support,47,3,Temporarily Not Working,Female,High School,Divorced
2000,333,47,4230,Service,25,8,Full-Time,Male,Less Than High School,Married
2000,,40,1006,Professional,65,0,Full-Time,Female,Bachelor,Separated
2000,12468,60,5940,Office and Administrative Support,17,1,Full-Time,Female,High School,Separated
2000,29925,36,430,Business/Finance,39,2,Full-Time,Male,High School,Married
2000,,43,4760,Sales,31,1,Housekeeper,Female,Less Than High School,Never Married
2000,12468,44,5940,Office and Administrative Support,17,2,Full-Time,Female,High School,Never Married
2000,29925,45,7220,"Installation, Maintenance, and Repair",45,3,Full-Time,Male,High School,Divorced
2000,,40,5700,Office and Administrative Support,47,2,Housekeeper,Female,High School,Married
2000,24937,59,2200,Professional,74,1,Part-Time,Male,Graduate,Married
2000,10806,38,2540,Professional,48,0,Full-Time,Female,Bachelor,Married
2000,4322,44,4620,Service,35,3,Temporarily Not Working,Female,Bachelor,Married
2000,29925,38,3910,Service,50,0,Full-Time,Male,High School,Married
2000,18287,36,2000,Professional,51,0,Part-Time,Male,Graduate,Never Married
2000,134018,47,2100,Professional,69,3,Full-Time,Male,Graduate,Married
2000,29925,37,3310,Professional,56,0,Full-Time,Female,Graduate,Divorced
2000,44887,37,1006,Professional,65,0,Full-Time,Male,Bachelor,Never Married
2000,,35,1006,Professional,65,3,Full-Time,Male,High School,Married
2000,44887,42,7030,"Installation, Maintenance, and Repair",60,2,Full-Time,Male,High School,Married
2000,18287,53,5700,Office and Administrative Support,47,1,Full-Time,Female,High School,Widowed
2000,18287,43,6320,Construction/Extraction,42,1,Full-Time,Male,High School,Married
2000,29925,49,8600,Production,60,2,Full-Time,Male,Junior College,Married
2000,4322,47,2320,Professional,64,4,Part-Time,Female,Bachelor,Married
2000,44887,37,7110,"Installation, Maintenance, and Repair",31,2,Full-Time,Male,Junior College,Married
2000,29925,42,7040,"Installation, Maintenance, and Repair",40,0,Full-Time,Male,Junior College,Married
2000,66500,51,2320,Professional,64,4,Full-Time,Male,Graduate,Married
2000,134018,59,4700,Sales,38,3,Full-Time,Male,Junior College,Married
2000,15793,52,8740,Production,39,2,Full-Time,Male,High School,Married
2000,2327,58,8740,Production,39,3,Part-Time,Female,Less Than High School,Married
2000,36575,40,7200,"Installation, Maintenance, and Repair",45,0,Full-Time,Male,Junior College,Never Married
2000,,63,2320,Professional,64,1,Part-Time,Male,Junior College,Married
2000,,56,5700,Office and Administrative Support,47,0,Full-Time,Female,High School,Married
2000,,37,160,Business/Finance,44,2,Housekeeper,Female,High School,Married
2000,7481,54,4760,Sales,31,2,Part-Time,Female,High School,Married
2000,29925,44,5630,Office and Administrative Support,34,3,Temporarily Not Working,Female,High School,Married
2000,54862,42,110,Business/Finance,60,3,Full-Time,Male,Bachelor,Married
2000,29925,43,3255,Professional,64,2,Full-Time,Female,Graduate,Married
2000,21612,59,800,Business/Finance,60,2,Full-Time,Female,High School,Divorced
2000,54862,52,3255,Professional,64,2,Full-Time,Female,Less Than High School,Married
2000,44887,40,4000,Service,50,3,Full-Time,Male,High School,Married
2000,,51,2300,Professional,53,1,Housekeeper,Female,Bachelor,Separated
2000,134018,50,10,Business/Finance,72,0,Full-Time,Male,High School,Never Married
2000,,45,4850,Sales,45,0,Full-Time,Male,Bachelor,Never Married
2000,44887,36,2810,Professional,54,0,Full-Time,Female,Bachelor,Married
2000,134018,45,4710,Sales,48,2,Full-Time,Male,Graduate,Married
2000,21612,58,4220,Service,24,3,Full-Time,Male,High School,Married
2000,18287,48,4230,Service,25,0,Full-Time,Male,Bachelor,Never Married
2000,36575,35,2200,Professional,74,0,Full-Time,Male,Graduate,Divorced
2000,21612,42,4700,Sales,38,2,Full-Time,Male,High School,Married
2000,14131,52,4220,Service,24,1,Full-Time,Male,High School,Married
2000,,44,8320,Production,32,0,School,Male,Less Than High School,Never Married
2000,21612,38,630,Business/Finance,47,0,Full-Time,Female,High School,Never Married
2000,36575,42,50,Business/Finance,53,0,Full-Time,Female,Bachelor,Never Married
2000,36575,52,5700,Office and Administrative Support,47,1,Full-Time,Female,Junior College,Married
2000,,61,3850,Service,60,0,Retired,Male,High School,Divorced
2000,44887,50,3255,Professional,64,2,Full-Time,Female,High School,Married
2000,29925,44,430,Business/Finance,39,2,Full-Time,Male,,Separated
2000,18287,38,4830,Sales,38,2,Full-Time,Female,Graduate,Married
2000,18287,53,5600,Office and Administrative Support,40,3,Full-Time,Female,High School,Married
2000,,43,4720,Sales,28,1,Other,Female,High School,Divorced
2000,66500,36,3120,Professional,67,2,Full-Time,Male,Graduate,Married
2000,,40,2000,Professional,51,2,Part-Time,Female,Graduate,Married
2000,,42,2340,Professional,38,0,Part-Time,Female,High School,Married
2000,36575,45,1010,Professional,63,0,Full-Time,Female,High School,Married
2000,21612,49,410,Business/Finance,41,1,Part-Time,Female,Bachelor,Married
2000,10806,59,4610,Service,48,2,Part-Time,Female,Bachelor,Married
2000,,45,110,Business/Finance,60,0,Housekeeper,Male,High School,Never Married
2000,,56,4760,Sales,31,2,Retired,Male,Less Than High School,Separated
2000,,48,2000,Professional,51,0,Other,Male,Less Than High School,Never Married
2000,,57,4220,Service,24,8,Housekeeper,Male,High School,Divorced
2000,29925,37,1010,Professional,63,1,Full-Time,Male,Graduate,Married
2000,1330,35,4110,Service,31,2,Housekeeper,Female,High School,Married
2000,21612,42,350,Business/Finance,64,0,Full-Time,Female,Graduate,Married
2000,15793,46,5000,Office and Administrative Support,46,2,Full-Time,Female,High School,Married
2000,44887,53,8830,Production,35,0,Full-Time,Male,High School,Married
2000,36575,54,4710,Sales,48,2,Full-Time,Female,Bachelor,Married
2000,14131,38,3255,Professional,64,3,Part-Time,Female,Bachelor,Married
2000,29925,53,5700,Office and Administrative Support,47,1,Full-Time,Female,Bachelor,Married
2000,,40,8740,Production,39,3,Full-Time,Female,Junior College,Married
2000,29925,46,2145,Professional,52,0,Full-Time,Female,Bachelor,Married
2000,134018,41,2710,Professional,58,2,Full-Time,Male,Bachelor,Married
2000,21612,53,3320,Professional,59,2,Full-Time,Female,Junior College,Divorced
2000,,58,5700,Office and Administrative Support,47,3,"Unemployed, Laid Off",Female,Junior College,Married
2000,,58,4920,Sales,49,1,Full-Time,Female,High School,Married
2000,,52,4720,Sales,28,4,Housekeeper,Female,High School,Married
2000,18287,35,4110,Service,31,2,Full-Time,Male,High School,Married
2000,54862,37,430,Business/Finance,39,0,Full-Time,Male,Bachelor,Never Married
2000,15793,41,4220,Service,24,2,Full-Time,Male,Less Than High School,Married
2000,24937,38,4965,Sales,31,0,Full-Time,Female,Junior College,Never Married
2000,21612,39,1050,Professional,48,0,Full-Time,Male,Junior College,Never Married
2000,44887,56,160,Business/Finance,44,3,Full-Time,Male,High School,Divorced
2000,15793,52,5700,Office and Administrative Support,47,1,Full-Time,Female,High School,Divorced
2000,21612,36,120,Business/Finance,53,1,Full-Time,Female,High School,Divorced
2000,,38,5700,Office and Administrative Support,47,2,Housekeeper,Female,High School,Separated
2000,44887,61,6515,Construction/Extraction,36,3,Full-Time,Male,Bachelor,Divorced
2000,44887,47,820,Business/Finance,52,5,Full-Time,Female,High School,Divorced
2000,44887,38,4220,Service,24,2,Full-Time,Male,High School,Divorced
2000,44887,38,6355,Construction/Extraction,49,0,Full-Time,Male,Bachelor,Widowed
2000,15793,54,5010,Office and Administrative Support,25,3,Full-Time,Female,High School,Divorced
2000,21612,42,5400,Office and Administrative Support,38,2,Full-Time,Female,Less Than High School,Widowed
2000,24937,41,7700,Production,50,0,Full-Time,Female,High School,Married
2000,,51,,,,0,Retired,Male,Less Than High School,Never Married
2000,29925,52,540,Business/Finance,46,3,"Unemployed, Laid Off",Male,Bachelor,Married
2000,7481,52,4760,Sales,31,2,Temporarily Not Working,Female,High School,Married
2000,36575,37,3850,Service,60,0,Full-Time,Male,High School,Married
2000,29925,35,9130,Transportation,35,4,Full-Time,Male,High School,Married
2000,29925,48,2320,Professional,64,4,Full-Time,Male,Graduate,Widowed
2000,,57,5240,Office and Administrative Support,31,5,Temporarily Not Working,Female,High School,Married
2000,,46,800,Business/Finance,60,1,Other,Male,High School,Divorced
2000,,49,420,Business/Finance,52,1,Full-Time,Female,Graduate,Divorced
2000,,53,9130,Transportation,35,2,Other,Male,High School,Married
2000,14131,54,5330,Office and Administrative Support,49,3,Full-Time,Female,High School,Married
2000,,51,5540,Office and Administrative Support,45,6,"Unemployed, Laid Off",Male,Bachelor,Divorced
2000,21612,36,7420,"Installation, Maintenance, and Repair",33,2,Full-Time,Male,High School,Separated
2000,10806,60,5110,Office and Administrative Support,40,2,Full-Time,Female,High School,Widowed
2000,21612,35,2540,Professional,48,1,Full-Time,Female,Junior College,Divorced
2000,,55,2300,Professional,53,2,Full-Time,Female,Graduate,Married
2000,,51,3255,Professional,64,0,Housekeeper,Female,Bachelor,Married
2000,,49,4820,Sales,58,0,Full-Time,Female,Graduate,Separated
2000,24937,38,8500,Production,42,0,Full-Time,Male,Less Than High School,Never Married
2000,12468,53,2600,Professional,46,0,Full-Time,Male,Bachelor,Married
2000,54862,52,2200,Professional,74,4,Temporarily Not Working,Female,Graduate,Married
2000,,60,8610,Production,47,2,Retired,Male,High School,Married
2000,333,44,3600,Service,48,3,Housekeeper,Female,Less Than High School,Never Married
2000,12468,42,3600,Service,48,4,Temporarily Not Working,Female,High School,Married
2000,,42,4950,Sales,21,3,Full-Time,Male,High School,Married
2000,12468,42,3600,Service,48,2,Temporarily Not Working,Female,Less Than High School,Married
2000,10806,43,3930,Service,34,2,Full-Time,Female,High School,Married
2000,,54,3040,Professional,70,0,Full-Time,Male,Graduate,Never Married
2000,134018,57,726,Business/Finance,40,0,Full-Time,Female,Graduate,Never Married
2000,29925,56,3600,Service,48,3,Full-Time,Female,High School,Never Married
2000,,35,2300,Professional,53,2,"Unemployed, Laid Off",Female,High School,Never Married
2000,21612,38,120,Business/Finance,53,2,Temporarily Not Working,Female,High School,Married
2000,,46,4600,Service,35,4,Full-Time,Female,Less Than High School,Separated
2000,21612,59,4230,Service,25,6,Full-Time,Male,High School,Married
2000,,59,8320,Production,32,,"Unemployed, Laid Off",Female,,Widowed
2000,,54,4700,Sales,38,1,Full-Time,Female,High School,Widowed
2000,21612,40,2840,Professional,55,0,Full-Time,Female,Bachelor,Never Married
2000,,41,4220,Service,24,0,Full-Time,Male,High School,Never Married
2000,,37,,,,2,Housekeeper,Female,Less Than High School,Married
2000,,36,4700,Sales,38,5,Housekeeper,Female,Less Than High School,Separated
2000,29925,55,8255,Production,36,0,Temporarily Not Working,Male,Bachelor,Never Married
2000,,58,4220,Service,24,4,Full-Time,Male,High School,Married
2000,36575,38,5610,Office and Administrative Support,35,1,Full-Time,Female,Bachelor,Married
2000,,36,8830,Production,35,2,Housekeeper,Female,High School,Married
2000,,53,,,,2,Housekeeper,Female,High School,Married
2000,,52,4760,Sales,31,0,Full-Time,Male,Bachelor,Married
2000,,45,3600,Service,48,2,Part-Time,Female,High School,Married
2000,,64,2200,Professional,74,1,Housekeeper,Female,Graduate,Married
2000,29925,42,5000,Office and Administrative Support,46,1,Full-Time,Male,Bachelor,Married
2000,4322,62,5520,Office and Administrative Support,32,4,Part-Time,Female,High School,Widowed
2000,,44,,,,1,Housekeeper,Female,High School,Separated
2000,,62,,,,3,Other,Female,Less Than High School,Widowed
2000,3657,48,4050,Service,21,4,Part-Time,Female,High School,Widowed
2000,,41,4230,Service,25,2,Full-Time,Female,High School,Divorced
2000,,37,800,Business/Finance,60,4,Full-Time,Female,High School,Separated
2000,,40,,,,4,Other,Female,High School,Divorced
2000,36575,48,350,Business/Finance,64,2,Full-Time,Female,Graduate,Married
2000,,39,10,Business/Finance,72,1,Full-Time,Male,Bachelor,Married
2000,2992,48,4610,Service,48,2,Part-Time,Female,High School,Married
2000,24937,44,5140,Office and Administrative Support,40,3,"Unemployed, Laid Off",Female,High School,Married
2000,,63,430,Business/Finance,39,3,Full-Time,Female,Bachelor,Divorced
2000,,43,2100,Professional,69,2,Full-Time,Male,Graduate,Married
2000,29925,36,500,Business/Finance,46,2,Full-Time,Female,Junior College,Married
2000,12468,51,9620,Transportation,25,4,Full-Time,Female,Less Than High School,Married
2000,18287,40,9130,Transportation,35,1,Full-Time,Male,Less Than High School,Married
2000,29925,62,5540,Office and Administrative Support,45,2,Full-Time,Male,High School,Divorced
2000,10806,59,8965,Production,35,2,Full-Time,Female,Less Than High School,Married
2000,54862,49,4020,Service,33,2,Full-Time,Female,High School,Married
2000,18287,41,5700,Office and Administrative Support,47,3,Full-Time,Female,,Never Married
2000,2327,35,4600,Service,35,3,Full-Time,Female,High School,Married
2000,333,63,4710,Sales,48,7,Retired,Male,Less Than High School,Married
2000,66500,37,540,Business/Finance,46,1,Full-Time,Male,High School,Married
2000,5985,47,8250,Production,35,4,Full-Time,Female,High School,Separated
2000,,43,4610,Service,48,1,Housekeeper,Female,Junior College,Widowed
2000,134018,35,5120,Office and Administrative Support,45,1,Full-Time,Male,Bachelor,Married
2000,44887,53,5800,Office and Administrative Support,47,1,Full-Time,Female,High School,Divorced
2000,14131,49,5310,Office and Administrative Support,50,2,Full-Time,Female,High School,Married
2000,44887,45,7040,"Installation, Maintenance, and Repair",40,3,Full-Time,Male,High School,Married
2000,24937,52,5700,Office and Administrative Support,47,2,Full-Time,Female,High School,Married
2000,,36,5860,Office and Administrative Support,32,3,Housekeeper,Female,High School,Married
2000,36575,36,6320,Construction/Extraction,42,2,Full-Time,Male,High School,Married
2000,21612,41,9130,Transportation,35,2,Full-Time,Male,High School,Married
2000,14131,62,5700,Office and Administrative Support,47,4,Other,Female,High School,Widowed
2000,21612,48,2825,Professional,46,3,Full-Time,Female,Junior College,Divorced
2000,1330,38,2540,Professional,48,2,Part-Time,Female,High School,Married
2000,29925,54,7315,"Installation, Maintenance, and Repair",45,4,Full-Time,Male,Less Than High School,Married
2000,,38,6050,"Farming, Fishing, and Forestry",27,2,Full-Time,Male,Less Than High School,Never Married
2000,24937,39,5000,Office and Administrative Support,46,0,Full-Time,Female,High School,Never Married
2000,,40,5410,Office and Administrative Support,33,3,Housekeeper,Female,High School,Married
2000,,41,410,Business/Finance,41,2,Full-Time,Male,Bachelor,Married
2000,44887,51,7200,"Installation, Maintenance, and Repair",45,2,Full-Time,Male,High School,Married
2000,29925,37,2320,Professional,64,1,Full-Time,Male,Graduate,Married
2000,44887,51,2320,Professional,64,2,Full-Time,Male,Graduate,Married
2000,54862,54,4010,Service,38,0,Full-Time,Male,Graduate,Never Married
2000,,63,2100,Professional,69,8,Full-Time,Male,High School,Married
2000,29925,52,2310,Professional,61,0,Full-Time,Female,Graduate,Never Married
2000,,35,3800,Service,40,4,Full-Time,Male,High School,Married
2000,1330,47,6355,Construction/Extraction,49,0,Full-Time,Male,High School,Married
2000,54862,47,2750,Professional,51,3,Full-Time,Male,High School,Married
2000,14131,37,4600,Service,35,0,Full-Time,Female,Bachelor,Never Married
2000,29925,35,3300,Professional,61,2,Full-Time,Male,High School,Married
2000,14131,48,8740,Production,39,2,Full-Time,Female,High School,Divorced
2000,,57,4720,Sales,28,3,Housekeeper,Female,Less Than High School,Married
2000,134018,40,1820,Professional,71,0,Full-Time,Male,Graduate,Never Married
2000,15793,36,5560,Office and Administrative Support,38,2,Full-Time,Female,High School,Married
2000,21612,56,1060,Professional,57,3,Full-Time,Female,High School,Separated
2000,,55,6440,Construction/Extraction,43,3,Retired,Male,High School,Divorced
